対象県（富山/石川/福井）,アンケート回答日,居住都道府県,性別,年代,職業,世帯年収,同伴者,宿泊数（全行程）,宿泊エリア（県外）,宿泊エリア（県内）,宿泊数（県内）,１泊目　宿泊先,１泊目　食事プラン,２泊目　宿泊先,２泊目　食事プラン,３泊目　宿泊先,３泊目　食事プラン,４泊目　宿泊先,４泊目　食事プラン,交通手段１（目的地まで）,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,交通手段２（目的地から）,タクシー,路線バス,徒歩,レンタサイクル,交通の満足度,交通の満足度の理由,来県回数（観光）,エリアへの訪問回数,施設への訪問回数,目的,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他の目的,情報源,Facebook,Google,Googleマップ,Instagram,TikTok,X（旧Twitter）,YouTube,SNS広告,ブログ,まとめサイト,インターネット・アプリ,デジタルニュース,宿泊予約Webサイト,宿泊施設,TV・ラジオ番組やCM,ラブライブのスタンプラリー,新聞・雑誌・ガイドブック,旅行会社,友人・知人,地元の人,観光パンフレット・ポスター,観光案内所,観光展・物産展,観光連盟やDMOのHP,その他,他を検討した？,どこと比較した？（県）,どこと比較した？（観光地）,交通費,飲食費,宿泊費,買い物費,施設orエリア消費総額,観光費,訪問場所,寿司,ます寿司,海の幸食べたか,海の幸感動,満足度（食べ物・料理）,満足度（宿泊施設）,満足度（買い物（工芸品・特産品など））,満足度（観光・体験）,満足度（旅行全体）,満足度（商品・サービス）,満足度理由(サービス),満足度理由,不便に感じたこと・困ったこと,最も幸せを感じた食べ物,最も幸せを感じた観光・体験,おすすめ度,再訪意向,自由意見,回答場所,個人情報保護の方針について,アンケート前に訪れた主な場所（施設やスポット名称、エリアなど）,上記名称リストにない場合について、具体的にお答えください。(前),アンケート後に訪れる予定の場所（施設やスポット名称、エリア）,上記名称リストにない場合について、具体的にお答えください。(後),会員ID,登録エリア,生まれ年,回答時の年齢,UA(UserAgent),回答月,回答エリア2,DMO,推奨項目
福井,2023/04/28 21:25:52,岐阜県,男,60代,,分からない/無回答,自分ひとり,日帰り,福井県外には宿泊しない,,福井県内には宿泊しない,,,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,3,,,初めて,初めて,その他スポーツ（ゴルフ、テニスなど）,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,観光パンフレット・ポスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,"5,000円以上 10,000円未満",,"3,000円以上 5,000円未満",,"1,000円未満","1,000円以上 3,000円未満",,,,,,,,,,4,3,,,,,,5,また行きたい（1年以内）,,北陸新幹線 越前たけふ駅 エリア,,選択なし/該当施設なし,,選択なし/該当施設なし,,000000,熊川宿 エリア,1958,65,,4月,38.北陸新幹線 越前たけふ駅 エリア,,
福井,2023/04/28 19:57:21,香川県,女,50代,,200万円以上 300万円未満,親,3泊,石川県輪島市,,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,,,,2～5回目,2～5回目,アウトドア（海水浴、釣り、登山など）,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,新聞・雑誌・ガイドブック,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,"20,000円以上 30,000円未満",,"30,000円以上 40,000円未満",,"1,000円未満","30,000円以上 40,000円未満",,,,,,,,,,3,2,,お手洗いが綺麗に掃除されていました。ありがとうございました。,,,,3,機会があれば行きたい,,道の駅「三方五湖」  エリア,,選択なし/該当施設なし,,大本山永平寺,,000000,道の駅「三方五湖」  エリア,1969,54,,4月,83.道の駅「三方五湖」 エリア,三方五湖DMO(株),
福井,2023/04/28 18:00:13,千葉県,女,50代,,分からない/無回答,中学生以上連れの家族,2泊,石川県金沢市,,1泊,,,,,,,,,飛行機,0,0,0,0,1,0,0,レンタカー,0,0,0,0,4,,,初めて,初めて,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"100,000円以上",,"10,000円以上 20,000円未満",,"5,000円以上 10,000円未満","20,000円以上 30,000円未満",,,,,,,,,,4,4,,,,,,8,機会があれば行きたい,,越前海岸 北部 エリア,,選択なし/該当施設なし,,丸岡城,,000000,丸岡城 エリア,1971,52,,4月,07.越前海岸 北部 エリア,,
福井,2023/04/28 17:33:31,兵庫県,その他,50代,,500万円以上 600万円未満,夫婦2人,1泊,福井県外には宿泊しない,,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,4,,,2～5回目,2～5回目,宿でのんびり過ごす,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,観光展・物産展インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,"5,000円以上 10,000円未満",,"10,000円以上 20,000円未満",,"1,000円以上 3,000円未満","3,000円以上 5,000円未満",,,,,,,,,,4,4,,,,,,3,,,道の駅「三方五湖」  エリア,,選択なし/該当施設なし,,選択なし/該当施設なし,,000000,道の駅「三方五湖」  エリア,1965,58,,4月,83.道の駅「三方五湖」 エリア,三方五湖DMO(株),
福井,2023/04/28 17:23:27,福井県,女,50代,,300万円以上 400万円未満,親,1泊,福井県外には宿泊しない,,1泊,,,,,,,,,県外から訪れていない（福井県在住）,0,0,0,0,0,0,1,自家用車,0,0,0,0,,,,11回目以上,11回目以上,宿でのんびり過ごす花見や紅葉などの自然鑑賞,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,宿泊施設,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,"1,000円以上 3,000円未満",,"10,000円以上 20,000円未満",,"10,000円以上 20,000円未満","20,000円以上 30,000円未満",,,,,,,,,,4,4,,,,,,8,福井県在住,,越前海岸 越前岬 エリア,,越前陶芸村,,選択なし/該当施設なし,,000000,越前海岸 越前岬 エリア,1970,53,,4月,53.越前海岸 越前岬 エリア,,
福井,2023/04/28 16:10:04,大阪府,男,50代,,100万円未満,中学生以上連れの家族,1泊,石川県加賀市,,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,5,,,11回目以上,11回目以上,宿でのんびり過ごす,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"5,000円以上 10,000円未満",,"5,000円以上 10,000円未満",,"10,000円以上 20,000円未満","30,000円以上 40,000円未満",,,,,,,,,,5,5,,,,,,9,また行きたい（1年以内）,,うみんぴあ大飯 エリア,,丸岡城,,一乗谷朝倉氏遺跡,,000000,うみんぴあ大飯 エリア,1965,58,,4月,84.うみんぴあ大飯 エリア,,
福井,2023/04/28 15:26:49,大阪府,女,40代,,400万円以上 500万円未満,恋人,1泊,福井県外には宿泊しない,,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,4,,,11回目以上,11回目以上,宿でのんびり過ごす,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,友人・知人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,"5,000円以上 10,000円未満",,"30,000円以上 40,000円未満",,"5,000円以上 10,000円未満","10,000円以上 20,000円未満",,,,,,,,,,5,4,,,,,,8,,,道の駅「越前」 エリア,,選択なし/該当施設なし,,選択なし/該当施設なし,,000000,web,1977,46,,4月,49.道の駅「越前」 エリア,,
福井,2023/04/28 14:13:31,福井県,女,50代,,分からない/無回答,夫婦2人,日帰り,福井県外には宿泊しない,,4泊以上,,,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,5,道の駅が綺麗,,6～10回目,6～10回目,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,新聞・雑誌・ガイドブック,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,使わない,,使わない,,"1,000円未満",使わない,,,,,,,,,,5,3,,,,,,7,また行きたい（1年以内）,,北潟湖 エリア,,選択なし/該当施設なし,,一乗谷朝倉氏遺跡,,000000,web,1965,58,,4月,20.北潟湖 エリア,,
福井,2023/04/28 13:57:23,福井県,女,70代,,100万円以上 200万円未満,夫婦2人,日帰り,福井県外には宿泊しない,,福井県内には宿泊しない,,,,,,,,,自家用車,1,0,0,0,0,0,0,自家用車,0,0,0,0,,,,2～5回目,2～5回目,名所、旧跡の観光,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,観光パンフレット・ポスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,"1,000円以上 3,000円未満",,"5,000円以上 10,000円未満",,使わない,"3,000円以上 5,000円未満",,,,,,,,,,3,3,,,,,,4,,,道の駅「パークイン丹生ヶ丘」 エリア,,選択なし/該当施設なし,,選択なし/該当施設なし,,000000,紫式部公園 エリア,1948,75,,4月,50.道の駅「パークイン丹生ヶ丘」 エリア,,
福井,2023/04/28 13:45:53,千葉県,女,50代,,分からない/無回答,中学生以上連れの家族,2泊,石川県金沢市,,1泊,,,,,,,,,新幹線飛行機,0,0,1,0,1,0,0,レンタカー,0,0,0,0,4,,,初めて,初めて,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,観光パンフレット・ポスターインターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,"100,000円以上",,"10,000円以上 20,000円未満",,"1,000円以上 3,000円未満","20,000円以上 30,000円未満",,,,,,,,,,4,4,,,,,,8,機会があれば行きたい,,一乗谷朝倉氏遺跡 エリア,,丸岡城,,鷹巣海水浴場,,000000,丸岡城 エリア,1971,52,,4月,06.一乗谷朝倉氏遺跡 エリア,,
